a2,c4,c6,c7,c8,c9,c10,c11,c13,c152,c162,c172,c30a,d30a,d30b,d2
Red River Delta,,Yes,1,30,,No,,,No,,,3,2,1,43354131000
Red River Delta,,No,,,,No,,,No,,,4,3,3,2335269000
Red River Delta,,No,,,,No,,,No,,,3,2,0,1290830000
Red River Delta,,No,,,,No,,,No,,,3,0,0,150000000000
Red River Delta,,Yes,2,730,,No,,,No,,,2,0,0,16034000000
Red River Delta,,No,,,,Yes,20,,No,,,3,0,0,429000000
Red River Delta,,No,,,,No,,,No,,,3,3,,39241694000
Red River Delta,,No,,,,No,,,No,,,2,1,0,845361000
Red River Delta,,Yes,,,1,No,,,No,,,1,2,2,37589998000
Red River Delta,,No,,,,No,,,No,,,3,3,2,128198236000
Red River Delta,1,No,,,,No,,7,No,,,0,0,0,279575000
Red River Delta,,Yes,0,,,No,,,No,,,1,1,0,180000000000
Red River Delta,,Yes,2,240,5,Yes,,,No,,,3,3,0,381129265000
Red River Delta,,No,,,,No,,,No,,,3,0,,2789465000
Red River Delta,,No,,,,No,,,Yes,3,3,3,3,0,5400000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,15868674000
Red River Delta,,Yes,2,720,,Yes,50,,No,,,4,1,2,25747266000
Red River Delta,,No,,,,No,,,No,,,0,1,1,13464920000
Red River Delta,,Yes,1,30,,No,,,No,,,3,1,1,102914000000
Red River Delta,,Yes,1,40,5,No,,,No,,,1,1,0,5305259000
Red River Delta,,Yes,3,90,,No,,,No,,,3,0,0,6231257000
Red River Delta,,No,,,,No,,,No,,,1,2,0,38196946000
Red River Delta,,Yes,2,480,2,No,,,No,,,4,2,2,20973187000
Red River Delta,,Yes,0,,,No,,,No,,,0,1,0,6000000000
Red River Delta,,Yes,0,,,No,,,No,,,2,0,0,13000000000
Red River Delta,,Yes,1,480,,Yes,,,No,,,4,1,1,20855476000
Red River Delta,,No,,,,No,,,No,,,3,1,2,63373762000
Red River Delta,1,Yes,1,,,No,,,No,,,0,0,0,61384589000
Red River Delta,,Yes,1,15,,No,,,No,,,1,0,1,67891075000
Red River Delta,14,No,,,,No,,7,No,,,0,0,0,19630912000
Red River Delta,,Yes,1,300,,No,,,No,,,3,2,1,10546394000
Red River Delta,,Yes,2,120,,No,,,No,,,3,3,3,23589483000
Red River Delta,,Yes,3,630,,No,,,No,,,3,2,0,3356000000
Red River Delta,,Yes,1,300,,No,,,No,,,1,1,3,13710000000
Red River Delta,,Yes,4,260,2,No,,,No,,,3,1,2,17843651000
Red River Delta,,No,,,,No,,,No,,,2,0,0,35579625000
Red River Delta,,No,,,,No,,,No,,,0,2,0,5487453000
Red River Delta,,No,,,,No,,,No,,,0,2,0,7000000000
Red River Delta,,Yes,3,61,,Yes,5,,No,,,1,3,2,16594000000
Red River Delta,,Yes,5,120,,No,,,No,,,3,3,3,40070000
Red River Delta,,No,,,,No,,,No,,,3,2,1,47295989000
Red River Delta,,Yes,3,640,,No,,,No,,,2,0,2,11931718000
Red River Delta,,No,,,,No,,,No,,,1,1,0,120771473000
Red River Delta,,No,,,,No,,,No,,,3,0,0,5022290000
Red River Delta,,No,,,,No,,,No,,,2,2,,3002000000
Red River Delta,,Yes,1,240,,Yes,,,No,,,4,3,3,3678518000000
Red River Delta,,No,,,,Yes,1,,No,,,0,0,3,45339408000
Red River Delta,,No,,,,No,,,No,,,4,3,2,6343037000
Red River Delta,,Yes,2,480,,Yes,100,,No,,,0,0,,18596000000
Red River Delta,,No,,,,No,,,No,,,3,1,0,27390007000
